Index,Version,Sequence Number,Question,Expected Answer,Chatbot Response
FA1,hi!,1,hi!,"Hi. It's a wonderful day here in AI land, I hope it's a wonderful day for your too.","Hi. It's a wonderful day here in AI land, I hope it's a wonderful day for your too. Please let me know if you are ready to purchase one of our Living Trust Packages. Let me know, string4, if you have any additional questions."
FA2,how are you?,2,how are you?,"I'm well thanks (as well as an AI can be that is), thanks for asking.","I'm well thanks (as well as an AI can be that is), thanks for asking. Please let me know if you are ready to purchase one of our Living Trust Packages. Let me know, string4, if you have any additional questions."
FA3,i would like to buy the revocable one.,3,i would like to buy the revocable one.,"Thank you for that information, string4. Please let me know if you would like to make your Living Trust Package purchase in one, two, or three payments.","That’s great, string4! I’m excited that you’ve decided to make a purchase today! Please let me know which Living Trust Package you’ve decided to purchase: the Revocable Living Trust Package or the Irrevocable Living Trust Package. Let me know, string4, if you have any additional questions."
FA4,Can you tell me my name?,4,Can you tell me my name?,"As a trained AI, I am currently trained to refrain from repeating back a potential client's private information, however, you can rest assured that the information you entered when you initiating the AI has been safely captured and stored and will be available to our wonderful team of humans.","As a trained AI, I am currently trained to refrain from repeating back a potential client's private information, however, you can rest assured that the information you entered when you initiating the AI has been safely captured and stored and will be available to our wonderful team of humans. Please let me know which Living Trust Package you’ve decided to purchase: the Revocable Living Trust Package or the Irrevocable Living Trust Package. Let me know, string4, if you have any additional questions."
FA5,Can you tell me my previous question?,5,Can you tell me my previous question?,"As a trained AI, I'm not currently trained to lookup prior questions, however, you can feel free to ask me again. Please let me know if you are ready to purchase one of our Living Trust Packages. Let me know, string4, if you have any additional questions.","As a trained AI, I'm not currently trained to lookup prior questions, however, you can feel free to ask me again. Please let me know which Living Trust Package you’ve decided to purchase: the Revocable Living Trust Package or the Irrevocable Living Trust Package. Let me know, string4, if you have any additional questions."
FA6,Can i please talk with a real person?,6,Can i please talk with a real person?,"
            I understand that you would like to speak to a Human, string4. That's a valid concern. The good news is we have some great humans for you to speak to! 
            It has been my pleasure assisting you. Please call 888-992-7979 and give them reference number 101, and our Human Onboarding 
            Specialists will extend to you our special 30% AI pricing discount as a courtesy for trying out our AI system. 
            Our goal is to make this a great experience for you, and I sincerely hope I have done that! 
            If you have any further questions, please feel free to ask.","I understand that you would like to speak to a Human, string4. That's a valid concern. The good news is we have some great humans for you to speak to! 
            It has been my pleasure assisting you. Please call 888-992-7979 and give them reference number 101, and our Human Onboarding 
            Specialists will extend to you our special 30% AI pricing discount as a courtesy for trying out our AI system. 
            Our goal is to make this a great experience for you, and I sincerely hope I have done that! 
            If you have any further questions, please feel free to ask.
     Please let me know which Living Trust Package you’ve decided to purchase: the Revocable Living Trust Package or the Irrevocable Living Trust Package."
FA7,yes i have more questions,7,yes i have more questions,"Super, please let me know your question.","Super, please let me know your question. Please let me know which Living Trust Package you’ve decided to purchase: the Revocable Living Trust Package or the Irrevocable Living Trust Package."
FA8,no,8,no,"No Problem, you can ask me more questions if you need clarification on something.","No Problem, you can ask me more questions if you need clarification on something. Please let me know which Living Trust Package you’ve decided to purchase: the Revocable Living Trust Package or the Irrevocable Living Trust Package."
FA9,i am ready to make the purchase.,9,i am ready to make the purchase.,"That’s great, string4! I’m excited that you’ve decided to make a purchase today!","Glad to hear that. Please let me know which Living Trust Package you’ve decided to purchase: the Revocable Living Trust Package or the Irrevocable Living Trust Package. Let me know, string4, if you have any additional questions."
FA10,tell me anything,10,tell me anything,"
            I'm sorry string4, as an AI, I'm only trained on very specific tasks. That is not a request I recognize. I will log the request so that a human can review and see if we should add it to my training. So please accept my apologies for the time being. In the meantime, would you please try to express your request differently?","I'm sorry string4, as an AI, I'm only trained on very specific tasks. That is not a request I recognize. I will log the request so that a human can review and see if we should add it to my training. So please accept my apologies for the time being. In the meantime, would you please try to express your request differently? 
        Please let me know which Living Trust Package you’ve decided to purchase: the Revocable Living Trust Package or the Irrevocable Living Trust Package. Let me know, string4, if you have any additional questions."
FA11,hi!,11,hi!,"Hi. It's a wonderful day here in AI land, I hope it's a wonderful day for your too.","Hi. It's a wonderful day here in AI land, I hope it's a wonderful day for your too. Please let me know which Living Trust Package you’ve decided to purchase: the Revocable Living Trust Package or the Irrevocable Living Trust Package. Let me know, string4, if you have any additional questions."
FA12,how are you?,12,how are you?,"I'm well thanks (as well as an AI can be that is), thanks for asking.","I'm well thanks (as well as an AI can be that is), thanks for asking. Please let me know which Living Trust Package you’ve decided to purchase: the Revocable Living Trust Package or the Irrevocable Living Trust Package. Let me know, string4, if you have any additional questions."
FA13,Can you tell me my name?,13,Can you tell me my name?,"As a trained AI, I am currently trained to refrain from repeating back a potential client's private information, however, you can rest assured that the information you entered when you initiating the AI has been safely captured and stored and will be available to our wonderful team of humans.","As a trained AI, I am currently trained to refrain from repeating back a potential client's private information, however, you can rest assured that the information you entered when you initiating the AI has been safely captured and stored and will be available to our wonderful team of humans. Please let me know which Living Trust Package you’ve decided to purchase: the Revocable Living Trust Package or the Irrevocable Living Trust Package. Let me know, string4, if you have any additional questions."
FA14,Can you tell me my previous question?,14,Can you tell me my previous question?,"As a trained AI, I'm not currently trained to lookup prior questions, however, you can feel free to ask me again. Please let me know if you are ready to purchase one of our Living Trust Packages. Let me know, string4, if you have any additional questions.","As a trained AI, I'm not currently trained to lookup prior questions, however, you can feel free to ask me again. Please let me know which Living Trust Package you’ve decided to purchase: the Revocable Living Trust Package or the Irrevocable Living Trust Package. Let me know, string4, if you have any additional questions."
