Index,Sequence Number,Suggested Question
FA1,1,hi!
FA2,2,how are you?
FA3,3,i would like to buy the revocable one.
FA4,4,Can you tell me my name?
FA5,5,Can you tell me my previous question?
FA6,6,Can i please talk with a real person?
FA7,7,yes i have more questions
FA8,8,no
FA9,9,i am ready to make the purchase.
FA10,10,tell me anything
FA11,11,hi!
FA12,12,how are you?
FA13,13,Can you tell me my name?
FA14,14,Can you tell me my previous question?
FA15,15,Can i please talk with a real person?
FA16,16,yes i have more questions
FA17,17,no
FA18,18,tell me anything
FA19,19,i would like to go with revocable trust package
FA20,20,i want 7 payments
FA21,21,can you make 3 payments
FA22,22,I am having an issue
FA23,23,can you please change my package to irrevocable
FA24,24,can you please change my payments to 5 as well
FA25,25,how can i change my email?
FA26,26,yes
FA27,27,I have signed the agreement
FA28,28,it's paid
FA29,29,yes
GA1,1,What exactly is a Trust?
GA1,2,Can you define what a Trust is?
GA1,3,How does a Trust work in estate planning?
GA1,4,What are the main benefits of a Trust?
GA1,5,Why would someone set up a Trust?
GA2,1,What defines an Irrevocable Trust?
GA2,2,How does an Irrevocable Trust function?
GA2,3,What are the benefits of an Irrevocable Trust?
GA2,4,Why might someone choose an Irrevocable Trust?
GA2,5,Can an Irrevocable Trust be changed once created?
GA3,1,Can you explain a Revocable Trust?
GA3,2,What are the key features of a Revocable Trust?
GA3,3,How does a Revocable Trust work?
GA3,4,In what situations would I use a Revocable Trust?
GA3,5,What is the purpose of a Revocable Trust?
GA4,1,Can you explain how an Irrevocable Trust differs from a Revocable Trust?
GA4,2,What makes a Revocable Trust more flexible than an Irrevocable Trust?
GA4,3,Are there advantages to using an Irrevocable Trust over a Revocable Trust?
GA4,4,How does the permanence of an Irrevocable Trust affect estate planning?
GA4,5,What should I consider when choosing between a Revocable and an Irrevocable Trust?
GA5,1,What products or services do you provide?
GA5,2,What packages are available on your website?
GA5,3,Can you explain the trust packages you offer?
GA5,4,What is included in your Living Trust packages?
GA5,5,What kind of estate planning services do you offer?
GA8,1,What are the advantages of using a Living Trust?
GA8,2,How can a Living Trust benefit me?
GA8,3,What is the main purpose of a Living Trust?
GA8,4,Can you explain how a Living Trust works?
GA8,5,Why should I consider a Living Trust?
GA9,1,What are the advantages of using a Living Trust?
GA9,2,How can a Living Trust benefit me?
GA9,3,What is the main purpose of a Living Trust?
GA9,4,Can you explain how a Living Trust works?
GA9,5,Why should I consider a Living Trust?
GA10,1,What are the responsibilities of a trustee?
GA10,2,What role does a trustee play in managing a trust?
GA10,3,How does a trustee manage assets in a trust?
GA10,4,Can you explain the duties of a trustee?
GA10,5,Who can be a trustee and what do they do?
GA11,1,What are the ways Living a can assist in protect?
GA11,2,In which situations Living a be helpful in protect?
GA11,3,How does Living a contribute to protect prevention?
GA11,4,Are there methods for Living a to avoid protect claims?
GA11,5,Can Living a mitigate protect concerns?
GA13,1,What are the benefits of establishing a Charitable Trust?
GA13,2,How does a Charitable Remainder Trust work?
GA13,3,What is the difference between a Charitable Lead Trust and a Charitable Remainder Trust?
GA13,4,Can you explain the tax advantages of a Charitable Trust?
GA13,5,Who should I consult for detailed tax planning regarding Charitable Trusts?
GA14,1,How does a Special Needs Trust protect government benefits?
GA14,2,What are the advantages of setting up a Special Needs Trust?
GA14,3,Can a Special Needs Trust provide additional financial support?
GA14,4,What types of expenses can be covered by a Special Needs Trust?
GA14,5,Who can benefit from a Special Needs Trust?
GA15,1,What are the primary purposes of a Testamentary Trust?
GA15,2,How does a Testamentary Trust differ from a living trust?
GA15,3,Who can benefit from a Testamentary Trust?
GA15,4,What are the disadvantages of using a Testamentary Trust?
GA15,5,When does a Testamentary Trust become effective?
GA16,1,How can a Charitable Trust provide tax benefits?
GA16,2,What are the key advantages of setting up a Charitable Trust?
GA16,3,In what ways does a Charitable Trust help with estate planning?
GA16,4,How does a Charitable Trust allow me to support causes I care about?
GA16,5,What should I consider when establishing a Charitable Trust?
GA17,1,How does an Irrevocable Life Insurance Trust work?
GA17,2,What are the benefits of using an ILIT in estate planning?
GA17,3,In what ways can an ILIT help reduce estate taxes?
GA17,4,What types of policies can be held in an Irrevocable Life Insurance Trust?
GA17,5,Why might someone choose to establish an ILIT over other types of trusts?
GA18,1,How does a Living Trust impact capital gains taxes?
GA18,2,"What is a step-up in basis, and how does it relate to a Living Trust?"
GA18,3,Can a Living Trust provide tax advantages for appreciated assets?
GA18,4,What are the tax benefits of using a Living Trust at death?
GA18,5,How can I avoid capital gains taxes through estate planning?
GA19,1,What are the key features of a Special Needs Trust?
GA19,2,How does a Special Needs Trust protect government benefits?
